INSERT INTO log_pefindo (pefindo_ID,FullName,dob,NO_KTP,timeinput,Value,status)
VALUES
    ('100441', 'Data test 7', '1991-01-07', '3672086105750006', 'getdate()', '0', '1'),
    ('100442', 'Data test 8', '1991-01-08', '3672086105750007', 'getdate()', '300', '1'),
    ('100443', 'Data test 9', '1991-01-09', '3672086105750008', 'getdate()', '499', '1'),
    ('100444', 'Data test 10', '1991-01-10', '3672086105750009', 'getdate()', '500', '1'),
    ('100445', 'Data test 11', '1991-01-11', '3672086105750010', 'getdate()', '600', '1'),
    ('100446', 'Data test 12', '1991-01-12', '3672086105750011', 'getdate()', '699', '1'),
    ('100447', 'Data test 13', '1991-01-13', '3672086105750012', 'getdate()', '700', '1'),
    ('100448', 'Data test 14', '1991-01-14', '3672086105750014', 'getdate()', '800', '1'),
    ('100449', 'Data test 15', '1991-01-15', '3672086105750015', 'getdate()', '998', '1'),
    ('100450', 'Data test 16', '1991-01-16', '3672086105750016', 'getdate()', '200', '1'),
    ('100451', 'Data test 17', '1991-01-17', '3672086105750017', 'getdate()', '600', '1'),
    ('100452', 'Data test 18', '1991-01-18', '3672086105750018', 'getdate()', '800', '1'),
    ('100453', 'Data test 19', '1991-01-19', '3672086105750019', 'getdate()', '300', '1'),
    ('100454', 'Data test 20', '1991-01-20', '3672086105750020', 'getdate()', '550', '1'),
    ('100455', 'Data test 21', '1991-01-21', '3672086105750021', 'getdate()', '750', '1'),
    ('100456', 'Data test 22', '1991-01-22', '3672086105750022', 'getdate()', '300', '1'),
    ('100457', 'Data test 23', '1991-01-23', '3672086105750023', 'getdate()', '550', '1'),
    ('100458', 'Data test 24', '1991-01-24', '3672086105750024', 'getdate()', '300', '1'),
    ('100459', 'Data test 25', '1991-01-25', '3672086105750025', 'getdate()', '550', '1'),
    ('100460', 'Data test 32', '1991-02-01', '3672086105750032', 'getdate()', '0', '1'),
    ('100461', 'Data test 33', '1991-02-02', '3672086105750033', 'getdate()', '300', '1'),
    ('100462', 'Data test 34', '1991-02-03', '3672086105750034', 'getdate()', '499', '1'),
    ('100463', 'Data test 35', '1991-02-04', '3672086105750035', 'getdate()', '500', '1'),
    ('100464', 'Data test 36', '1991-02-05', '3672086105750036', 'getdate()', '600', '1'),
